,ANO_EPI,ID_MUNICIP,"(0, 4]","(14, 19]","(19, 29]","(29, 39]","(39, 49]","(4, 9]","(49, 59]","(59, 69]","(69, 79]","(79, 120]","(9, 14]",TOTAL
178,2018,130030,12.0,4.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,25.0
179,2018,130040,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
180,2018,130063,7.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0
181,2018,130080,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
182,2018,130083,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
183,2018,130100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,2018,130110,4.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0
185,2018,130115,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
186,2018,130120,47.0,14.0,15.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,9.0,102.0
187,2018,130130,2.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0
188,2018,130160,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,2018,130185,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
190,2018,130190,51.0,27.0,22.0,9.0,8.0,8.0,3.0,1.0,0.0,0.0,11.0,140.0
191,2018,130200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
192,2018,130220,24.0,7.0,7.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,3.0,57.0
193,2018,130230,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
194,2018,130240,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
195,2018,130250,327.0,142.0,223.0,80.0,31.0,39.0,15.0,3.0,0.0,0.0,33.0,893.0
196,2018,130255,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0
197,2018,130260,2016.0,1550.0,1843.0,753.0,326.0,310.0,126.0,12.0,4.0,0.0,352.0,7292.0
198,2018,130270,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
199,2018,130290,12.0,0.0,6.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0
200,2018,130300,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
201,2018,130310,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
202,2018,130320,11.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,26.0
203,2018,130330,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
204,2018,130340,1.0,5.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,17.0
205,2018,130353,6.0,2.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0
206,2018,130356,16.0,2.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,26.0
