,ID_MUNICIP,GRUPO_IDADE,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
459,150480,"(9, 14]",3,0.0,3.0,0.0,15
460,150490,"(0, 4]",4,1.0,3.0,0.0,15
461,150490,"(14, 19]",2,0.0,2.0,0.0,15
462,150490,"(19, 29]",6,0.0,6.0,0.0,15
463,150490,"(29, 39]",6,1.0,5.0,0.0,15
464,150490,"(49, 59]",1,0.0,1.0,0.0,15
465,150495,"(19, 29]",1,0.0,1.0,0.0,15
466,150506,"(0, 4]",6,0.0,6.0,0.0,15
467,150506,"(14, 19]",7,0.0,7.0,0.0,15
468,150506,"(19, 29]",13,0.0,12.0,1.0,15
469,150506,"(29, 39]",5,0.0,5.0,0.0,15
470,150506,"(39, 49]",2,0.0,2.0,0.0,15
471,150506,"(9, 14]",3,0.0,3.0,0.0,15
472,150520,"(0, 4]",1,1.0,0.0,0.0,15
473,150520,"(14, 19]",4,0.0,4.0,0.0,15
474,150520,"(19, 29]",2,0.0,1.0,1.0,15
475,150520,"(39, 49]",1,0.0,0.0,1.0,15
476,150520,"(4, 9]",1,0.0,0.0,1.0,15
477,150520,"(9, 14]",1,0.0,0.0,1.0,15
478,150548,"(0, 4]",1,1.0,0.0,0.0,15
479,150550,"(0, 4]",25,5.0,19.0,1.0,15
480,150550,"(14, 19]",8,0.0,8.0,0.0,15
481,150550,"(19, 29]",12,2.0,5.0,5.0,15
482,150550,"(29, 39]",1,0.0,0.0,1.0,15
483,150550,"(39, 49]",1,0.0,1.0,0.0,15
484,150550,"(4, 9]",2,0.0,1.0,1.0,15
485,150550,"(49, 59]",2,0.0,2.0,0.0,15
486,150550,"(9, 14]",1,0.0,1.0,0.0,15
487,150553,"(0, 4]",39,3.0,31.0,5.0,15
488,150553,"(14, 19]",9,1.0,3.0,5.0,15
489,150553,"(19, 29]",21,0.0,14.0,7.0,15
490,150553,"(29, 39]",7,2.0,2.0,3.0,15
491,150553,"(39, 49]",1,0.0,0.0,1.0,15
492,150553,"(4, 9]",1,0.0,1.0,0.0,15
493,150553,"(9, 14]",2,1.0,1.0,0.0,15
494,150570,"(0, 4]",2,0.0,2.0,0.0,15
495,150570,"(14, 19]",2,0.0,2.0,0.0,15
496,150570,"(19, 29]",6,0.0,6.0,0.0,15
497,150570,"(29, 39]",1,0.0,1.0,0.0,15
498,150570,"(4, 9]",1,0.0,1.0,0.0,15
499,150580,"(0, 4]",51,0.0,51.0,0.0,15
500,150580,"(14, 19]",21,0.0,21.0,0.0,15
501,150580,"(19, 29]",24,0.0,24.0,0.0,15
502,150580,"(29, 39]",12,0.0,12.0,0.0,15
503,150580,"(39, 49]",4,0.0,4.0,0.0,15
504,150580,"(4, 9]",8,0.0,8.0,0.0,15
505,150580,"(9, 14]",7,0.0,7.0,0.0,15
506,150590,"(19, 29]",1,0.0,1.0,0.0,15
507,150590,"(9, 14]",1,1.0,0.0,0.0,15
508,150600,"(0, 4]",10,1.0,9.0,0.0,15
509,150600,"(14, 19]",11,3.0,5.0,3.0,15
510,150600,"(19, 29]",8,2.0,3.0,3.0,15
511,150600,"(29, 39]",4,1.0,3.0,0.0,15
512,150600,"(4, 9]",3,1.0,2.0,0.0,15
513,150600,"(9, 14]",4,2.0,2.0,0.0,15
514,150610,"(0, 4]",2,1.0,1.0,0.0,15
515,150613,"(0, 4]",1,0.0,1.0,0.0,15
516,150620,"(0, 4]",11,1.0,9.0,1.0,15
517,150620,"(14, 19]",8,0.0,6.0,2.0,15
518,150620,"(19, 29]",16,3.0,10.0,3.0,15
519,150620,"(29, 39]",5,0.0,3.0,2.0,15
520,150620,"(39, 49]",5,0.0,3.0,2.0,15
521,150620,"(4, 9]",1,1.0,0.0,0.0,15
