,ID_MUNICIP,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
497,350610,4,3.0,0.0,1.0,35
498,350635,42,12.0,17.0,13.0,35
499,350650,4,2.0,2.0,0.0,35
500,350660,1,1.0,0.0,0.0,35
501,350700,2,2.0,0.0,0.0,35
502,350710,4,2.0,2.0,0.0,35
503,350750,2,0.0,2.0,0.0,35
504,350760,36,23.0,8.0,5.0,35
505,350790,1,1.0,0.0,0.0,35
506,350810,2,1.0,1.0,0.0,35
507,350840,2,1.0,1.0,0.0,35
508,350850,32,19.0,9.0,4.0,35
509,350900,203,62.0,88.0,53.0,35
510,350920,24,15.0,9.0,0.0,35
511,350925,5,5.0,0.0,0.0,35
512,350930,1,0.0,1.0,0.0,35
513,350950,238,144.0,84.0,10.0,35
514,350960,28,14.0,7.0,7.0,35
515,350970,3,2.0,1.0,0.0,35
516,351000,7,5.0,2.0,0.0,35
517,351020,2,2.0,0.0,0.0,35
518,351030,8,5.0,3.0,0.0,35
519,351050,13,6.0,5.0,2.0,35
520,351060,108,38.0,53.0,17.0,35
521,351110,9,8.0,1.0,0.0,35
522,351150,5,4.0,1.0,0.0,35
523,351160,3,1.0,1.0,1.0,35
524,351210,1,1.0,0.0,0.0,35
525,351240,1,1.0,0.0,0.0,35
526,351250,3,3.0,0.0,0.0,35
527,351280,3,3.0,0.0,0.0,35
528,351300,147,78.0,29.0,40.0,35
529,351310,4,4.0,0.0,0.0,35
530,351340,17,11.0,6.0,0.0,35
531,351350,28,11.0,9.0,8.0,35
532,351370,1,1.0,0.0,0.0,35
533,351380,126,60.0,40.0,26.0,35
534,351390,9,8.0,1.0,0.0,35
535,351410,2,1.0,1.0,0.0,35
536,351430,1,1.0,0.0,0.0,35
537,351440,3,2.0,1.0,0.0,35
538,351450,2,1.0,1.0,0.0,35
539,351500,56,22.0,29.0,5.0,35
540,351510,23,12.0,9.0,2.0,35
541,351515,2,2.0,0.0,0.0,35
542,351518,1,0.0,1.0,0.0,35
543,351550,100,81.0,18.0,1.0,35
544,351570,40,10.0,8.0,22.0,35
545,351600,1,1.0,0.0,0.0,35
546,351620,25,9.0,11.0,5.0,35
547,351630,444,216.0,191.0,37.0,35
548,351640,404,146.0,250.0,8.0,35
549,351670,6,5.0,1.0,0.0,35
550,351690,1,1.0,0.0,0.0,35
551,351700,1,1.0,0.0,0.0,35
552,351740,3,1.0,2.0,0.0,35
553,351750,1,1.0,0.0,0.0,35
554,351830,36,21.0,12.0,3.0,35
555,351840,5,4.0,0.0,1.0,35
556,351860,6,5.0,0.0,1.0,35
557,351870,52,26.0,13.0,13.0,35
558,351880,828,316.0,342.0,170.0,35
559,351905,1,0.0,1.0,0.0,35
