,ID_MUNICIP,"(0, 4]","(14, 19]","(19, 29]","(29, 39]","(39, 49]","(4, 9]","(49, 59]","(59, 69]","(69, 79]","(79, 120]","(9, 14]",TOTAL
518,351030,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
519,351050,4.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
520,351060,35.0,12.0,41.0,11.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,108.0
521,351110,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
522,351150,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
523,351160,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
524,351210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
525,351240,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
526,351250,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
527,351280,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
528,351300,40.0,16.0,53.0,20.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,147.0
529,351310,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
530,351340,8.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0
531,351350,13.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0
532,351370,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
533,351380,44.0,18.0,45.0,12.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,126.0
534,351390,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
535,351410,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
536,351430,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
537,351440,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
538,351450,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
539,351500,19.0,11.0,15.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,56.0
540,351510,8.0,3.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0
541,351515,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
542,351518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
543,351550,57.0,4.0,3.0,7.0,4.0,9.0,4.0,1.0,1.0,0.0,10.0,100.0
544,351570,3.0,5.0,19.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0
