,ID_MN_RESI,CASO,CASO_VAC,CASO_N_VAC,CASO_IGN,COV_1,E_COV_1,COV_2,E_COV_2
119,352220.0,65,19.0,20.0,26.0,0.9698275862068966,0.021217568641612932,0.9326726901777909,0.031081615435275572
120,352230.0,25,13.0,5.0,7.0,0.9828009828009827,0.026002469887612675,0.9651945013161742,0.03665737358032944
121,352240.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0
122,352250.0,95,31.0,58.0,6.0,0.9011203117389187,0.030625496002079644,0.8884243532793311,0.03230227656626555
123,352260.0,3,1.0,1.0,1.0,0.9661835748792271,0.10435975359755005,0.9345794392523366,0.14275936744410714
124,352270.0,2,1.0,1.0,0.0,0.9345794392523366,0.1748438031202776,0.9345794392523366,0.1748438031202776
125,352280.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
126,352290.0,2,1.0,1.0,0.0,0.9345794392523366,0.1748438031202776,0.9345794392523366,0.1748438031202776
127,352310.0,253,98.0,119.0,36.0,0.9414740392046652,0.014757683429013475,0.9236404172306713,0.016696405247129533
128,352330.0,1,0.0,0.0,1.0,1.0,0.0,0.9345794392523366,0.24726647766958787
129,352340.0,10,8.0,1.0,1.0,0.992282249173098,0.027673429764081867,0.987797791981406,0.03471788319881383
130,352360.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
131,352380.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132,352390.0,47,27.0,14.0,6.0,0.9711595055915243,0.024411682018085787,0.9618467457518435,0.027942792409245933
133,352400.0,7,6.0,1.0,0.0,0.9884678747940692,0.04035403200631264,0.9884678747940692,0.04035403200631264
134,352420.0,3,3.0,0.0,0.0,1.0,0.0,1.0,0.0
135,352430.0,8,7.0,0.0,1.0,1.0,0.0,0.9953550099535502,0.02404010740907338
136,352440.0,14,11.0,1.0,2.0,0.9946442234123949,0.019506578093315918,0.9884678747940692,0.028534609679882653
137,352450.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
138,352470.0,21,14.0,6.0,1.0,0.9727626459143969,0.035520269617715046,0.9695753928452022,0.03747948672863085
139,352480.0,3,2.0,0.0,1.0,1.0,0.0,0.9861932938856016,0.06736982752110188
140,352500.0,76,18.0,25.0,33.0,0.9668246445497631,0.020543519672619578,0.922336586017912,0.030700550335958483
141,352510.0,1,0.0,0.0,1.0,1.0,0.0,0.9345794392523366,0.24726647766958787
142,352520.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
143,352530.0,20,13.0,5.0,2.0,0.977198697068404,0.03337768979139934,0.970873786407767,0.037601780060266175
144,352550.0,7,3.0,2.0,2.0,0.9727626459143969,0.0615229116764276,0.9501187648456058,0.08228269869685874
145,352560.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
146,352570.0,5,4.0,1.0,0.0,0.9828009828009827,0.058143290251593246,0.9828009828009827,0.058143290251593246
147,352580.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
148,352585.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
149,352590.0,118,65.0,20.0,33.0,0.9859154929577465,0.010847999777991654,0.9696032359764439,0.015804097505708263
150,352600.0,4,4.0,0.0,0.0,1.0,0.0,1.0,0.0
151,352610.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
152,352620.0,7,2.0,4.0,1.0,0.9146341463414634,0.10561285412005346,0.8880994671403198,0.1191510467584257
153,352640.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
154,352660.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155,352670.0,5,3.0,0.0,2.0,1.0,0.0,0.9828009828009827,0.058143290251593246
