,Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total
4308,412865,295,295,264,256,562,559,565,541,408,212,94,4051
4309,412870,471,470,431,423,1103,948,889,938,629,389,188,6879
4310,412880,316,316,292,336,738,792,725,831,604,408,226,5584
4311,420005,157,158,139,130,337,364,331,366,305,181,66,2534
4312,420010,1505,1385,1152,1210,2944,2643,2382,2188,1506,791,309,18015
4313,420020,856,832,753,691,1702,1810,1550,1332,866,519,249,11160
4314,420030,387,379,350,331,898,870,739,743,478,275,120,5570
4315,420040,550,533,457,446,1086,1010,945,856,648,408,221,7160
4316,420050,436,414,367,357,958,1166,897,820,650,321,158,6544
4317,420055,131,134,112,113,359,347,321,344,247,161,72,2341
4318,420060,328,329,307,371,979,1047,916,1021,704,417,227,6646
4319,420070,689,652,568,595,1604,1663,1266,1393,942,529,235,10136
4320,420075,105,104,87,70,204,245,259,313,259,171,98,1915
4321,420080,364,347,288,267,744,785,718,773,655,348,188,5477
4322,420090,246,255,227,222,611,694,652,741,525,317,196,4686
4323,420100,445,463,401,361,937,917,871,953,742,438,255,6783
4324,420110,213,218,193,165,412,430,470,490,342,188,102,3223
4325,420120,555,543,504,534,1328,1329,1310,1206,743,436,224,8712
4326,420125,781,772,701,710,1770,1750,1530,1336,896,484,221,10951
4327,420127,249,250,228,203,481,586,590,593,500,401,187,4268
4328,420130,4000,3562,3032,3216,7480,6620,5492,3951,2266,904,367,40890
4329,420140,4844,4764,4474,4447,10721,11604,9421,8729,6046,3080,1363,69493
4330,420150,599,597,548,520,1366,1491,1140,1150,796,422,214,8843
4331,420160,161,164,150,156,495,530,501,542,475,264,109,3547
4332,420165,117,118,119,131,298,371,303,320,256,137,58,2228
4333,420170,481,486,470,476,1124,1235,1103,1113,849,465,219,8021
4334,420180,172,172,162,179,475,508,412,498,335,184,82,3179
4335,420190,355,354,327,344,830,905,778,811,536,291,156,5687
4336,420195,903,875,800,773,1773,1953,1711,2169,1590,904,331,13782
4337,420200,8080,7905,8237,9110,21563,26089,22321,18825,15080,8244,3773,149227
4338,420205,685,654,518,449,1224,1172,1512,1754,1789,1093,421,11271
4339,420207,768,729,637,583,1510,1589,1345,1749,1526,759,342,11537
4340,420208,149,151,125,105,347,354,321,399,351,210,106,2618
4341,420209,99,98,83,68,207,203,226,246,206,130,59,1625
4342,420210,2343,2267,1950,1763,4624,4270,4212,4038,3013,1453,606,30539
4343,420213,481,458,386,414,1014,1005,935,811,533,235,114,6386
4344,420215,176,176,154,133,391,427,344,364,289,178,80,2712
4345,420220,805,799,752,740,1736,1911,1757,1449,1069,583,295,11896
4346,420230,4915,4715,4320,4659,11762,11491,9918,8529,5992,2876,1294,70471
4347,420240,21883,21682,21776,24004,58013,63837,53404,45922,32335,16157,7405,366418
4348,420243,242,242,211,196,513,494,460,490,364,189,100,3501
