"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"110145 PARECIS";"0";"15,48";"110,47";"83,53";"147,62";"154,43";"95,24";"138,03";"138,18";"103,17";"116,25";"108,75";"75,00";"96,25";"130,88";"192,06";"114,55";"130,61";"130,61";"92,00";"117,65";"76,47";"93,18";"67,80";"111,76";"108,93"
"110146 PIMENTEIRAS DO OESTE";"0";"12,33";"34,33";"77,94";"105,88";"147,69";"110,20";"93,10";"141,67";"106,82";"91,11";"88,89";"88,89";"77,78";"121,62";"145,10";"100,00";"121,62";"186,49";"144,12";"140,38";"55,77";"77,50";"105,13";"61,11";"97,99"
"110147 PRIMAVERA DE RONDONIA";"0";"13,54";"109,78";"88,04";"91,40";"134,55";"107,69";"260,71";"136,17";"146,51";"110,00";"92,00";"118,00";"96,00";"113,04";"139,53";"197,44";"110,64";"127,66";"87,50";"100,00";"79,37";"137,21";"113,16";"100,00";"107,69"
"110148 SAO FELIPE D\'OESTE";"0";"39,88";"126,12";"90,30";"89,63";"145,24";"120,69";"167,27";"108,60";"98,84";"114,63";"113,41";"112,20";"137,80";"105,56";"106,25";"121,31";"144,07";"91,53";"118,52";"105,33";"77,33";"116,67";"81,54";"73,68";"105,37"
"110149 SAO FRANCISCO DO GUAPORE";"0";"0";"98,44";"127,00";"196,36";"134,19";"165,81";"148,76";"112,90";"115,42";"332,47";"398,70";"358,44";"274,03";"50,00";"203,66";"137,22";"115,58";"144,16";"108,52";"119,52";"75,08";"16,50";"75,56";"64,41";"126,45"
"110150 SERINGUEIRAS";"0";"0";"59,80";"90,28";"93,13";"59,35";"155,63";"155,30";"617,14";"134,66";"106,18";"114,04";"103,93";"95,51";"91,57";"117,89";"112,50";"116,47";"143,53";"105,85";"125,00";"90,96";"106,55";"147,53";"101,33";"104,41"
"110155 TEIXEIROPOLIS";"0";"0";"121,14";"110,48";"94,35";"117,28";"206,90";"223,08";"306,06";"137,10";"146,15";"121,15";"134,62";"153,85";"120,00";"198,25";"125,00";"111,59";"104,35";"91,53";"112,07";"82,76";"62,50";"171,43";"66,67";"117,16"
"110160 THEOBROMA";"0";"24,69";"120,30";"72,50";"99,66";"186,23";"128,67";"94,59";"225,71";"104,24";"90,38";"66,67";"71,15";"64,74";"82,73";"198,50";"115,09";"162,40";"146,40";"125,95";"130,14";"29,45";"53,61";"70,43";"85,71";"101,34"
"110170 URUPA";"0";"0";"92,68";"112,20";"101,45";"306,02";"480,79";"413,98";"177,36";"135,26";"176,16";"113,91";"128,48";"101,32";"125,66";"153,42";"98,00";"136,89";"116,39";"104,00";"130,67";"118,67";"93,53";"118,18";"91,04";"137,77"
"110175 VALE DO ANARI";"0";"0";"67,46";"69,41";"100,43";"189,78";"126,53";"104,23";"337,74";"135,71";"154,37";"153,40";"115,53";"99,03";"117,24";"354,65";"211,24";"28,12";"85,16";"87,27";"146,51";"68,60";"30,11";"137,50";"70,97";"110,23"
