"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"410050 ALTONIA";"0";"111,33";"87,67";"85,43";"97,89";"138,41";"114,29";"91,63";"107,66";"80,48";"114,63";"91,46";"97,15";"109,76";"81,30";"107,95";"76,95";"89,06";"94,14";"92,86";"110,20";"96,33";"86,03";"97,33";"50,00";"103,19"
"410060 ALTO PARANA";"0";"127,87";"112,02";"118,60";"120,96";"180,23";"122,16";"120,81";"141,22";"93,55";"105,56";"98,77";"127,78";"123,46";"88,83";"110,00";"91,71";"116,76";"97,30";"112,07";"120,79";"65,17";"31,41";"75,00";"76,56";"113,60"
"410070 ALTO PIQUIRI";"0";"91,67";"113,43";"103,79";"119,29";"183,12";"122,66";"115,93";"121,80";"93,18";"89,60";"104,00";"108,00";"107,20";"91,73";"95,31";"81,34";"82,55";"76,51";"85,21";"105,26";"88,72";"93,23";"77,27";"102,08";"108,91"
"410080 ALVORADA DO SUL";"0";"107,69";"119,58";"96,88";"95,52";"193,86";"97,41";"114,56";"102,02";"80,18";"121,69";"102,41";"107,23";"114,46";"165,22";"97,96";"139,76";"94,12";"94,12";"105,71";"94,59";"56,76";"79,82";"122,22";"64,29";"112,80"
"410090 AMAPORA";"0";"101,08";"73,12";"92,31";"121,05";"162,03";"63,04";"116,87";"91,95";"89,53";"97,62";"84,52";"97,62";"70,24";"91,76";"92,00";"71,83";"94,12";"109,41";"89,66";"79,27";"106,10";"61,70";"103,12";"53,85";"97,13"
"410100 AMPERE";"0";"151,14";"150,76";"121,98";"94,19";"99,02";"83,41";"99,11";"102,50";"76,33";"79,57";"97,45";"95,74";"93,19";"140,72";"160,64";"115,20";"93,55";"103,23";"94,53";"105,64";"82,71";"80,77";"97,83";"83,48";"111,93"
"410105 ANAHY";"0";"157,45";"85,11";"106,67";"114,29";"86,96";"138,71";"80,56";"123,08";"54,76";"102,86";"117,14";"117,14";"111,43";"121,43";"117,86";"96,97";"129,63";"140,74";"78,57";"100,00";"113,79";"180,77";"110,53";"85,71";"116,79"
"410110 ANDIRA";"0";"76,60";"85,11";"103,76";"116,82";"90,43";"125,22";"154,33";"101,40";"88,78";"101,84";"92,28";"84,93";"87,50";"106,50";"96,17";"72,80";"109,26";"107,87";"86,10";"83,74";"72,36";"61,51";"64,16";"52,94";"101,07"
"410115 ANGULO";"0";"204,35";"169,57";"84,85";"108,11";"113,79";"82,50";"89,74";"113,16";"126,47";"124,24";"109,09";"84,85";"100,00";"167,57";"148,57";"102,17";"110,00";"80,00";"97,62";"117,07";"129,27";"83,33";"145,95";"27,78";"116,84"
"410120 ANTONINA";"0";"96,85";"85,49";"89,71";"110,80";"189,94";"86,39";"101,64";"90,27";"91,64";"117,01";"75,93";"100,41";"107,05";"90,67";"138,61";"80,70";"81,52";"73,60";"71,83";"78,85";"75,63";"67,66";"97,61";"64,00";"100,54"
"410130 ANTONIO OLINTO";"0";"138,46";"183,65";"133,71";"130,77";"147,78";"106,74";"155,84";"138,16";"121,79";"116,46";"107,59";"113,92";"115,19";"162,34";"137,10";"106,58";"125,76";"148,48";"123,08";"104,00";"94,67";"121,88";"100,00";"79,31";"136,17"
"410140 APUCARANA";"0";"85,21";"107,42";"98,79";"101,82";"96,79";"102,91";"97,91";"97,16";"93,92";"97,05";"99,71";"91,77";"94,84";"119,69";"107,09";"112,24";"87,36";"80,49";"89,69";"84,10";"55,88";"67,17";"73,38";"46,92";"97,37"
"410150 ARAPONGAS";"0";"110,15";"133,42";"140,73";"118,88";"117,93";"102,96";"98,06";"121,58";"106,60";"105,16";"112,10";"126,34";"119,81";"140,24";"121,14";"107,29";"78,02";"82,55";"90,91";"87,41";"61,55";"85,75";"79,92";"56,84";"109,51"
"410160 ARAPOTI";"0";"73,38";"115,09";"100,21";"111,47";"137,94";"103,26";"99,78";"96,47";"114,18";"97,14";"92,60";"94,27";"96,90";"102,63";"115,82";"102,98";"105,60";"112,04";"116,43";"109,09";"114,39";"103,63";"110,77";"67,13";"111,24"
"410165 ARAPUA";"0";"80,00";"118,57";"158,33";"114,29";"176,00";"156,00";"94,55";"101,89";"101,96";"102,13";"95,74";"117,02";"95,74";"59,57";"141,18";"90,70";"117,65";"170,59";"80,65";"92,16";"66,67";"130,56";"106,98";"85,00";"114,22"
"410170 ARARUNA";"0";"78,04";"128,97";"96,63";"106,74";"102,55";"122,22";"101,81";"88,50";"111,05";"123,42";"111,39";"115,82";"112,66";"153,37";"134,08";"112,57";"97,42";"86,60";"85,92";"85,79";"101,58";"87,62";"83,24";"70,27";"109,87"
"410180 ARAUCARIA";"0";"68,36";"79,00";"94,42";"105,52";"105,29";"96,07";"98,41";"97,00";"102,19";"95,52";"101,74";"112,84";"124,03";"113,52";"182,28";"86,94";"89,81";"86,73";"96,50";"82,65";"112,34";"90,67";"91,32";"72,02";"103,54"
"410185 ARIRANHA DO IVAI";"0";"125,71";"82,86";"175,76";"133,33";"219,23";"100,00";"128,57";"96,43";"67,57";"85,29";"85,29";"129,41";"79,41";"145,16";"83,33";"97,22";"125,00";"78,12";"138,71";"72,73";"88,64";"44,12";"150,00";"110,00";"113,58"
"410190 ASSAI";"0";"74,92";"101,67";"97,33";"101,49";"96,31";"116,16";"108,66";"132,32";"91,12";"92,86";"87,39";"97,48";"106,30";"142,53";"97,80";"88,73";"80,40";"62,00";"84,95";"109,90";"40,10";"93,62";"91,56";"60,00";"101,60"
"410200 ASSIS CHATEAUBRIAND";"0";"104,19";"98,74";"93,07";"100,43";"91,48";"107,69";"105,29";"96,79";"93,05";"89,92";"93,20";"93,95";"100,00";"97,37";"118,84";"99,46";"97,73";"116,88";"112,13";"104,89";"89,15";"80,92";"90,83";"68,11";"103,23"
"410210 ASTORGA";"0";"105,83";"121,17";"97,06";"101,01";"100,32";"93,77";"93,45";"111,23";"74,16";"118,06";"100,33";"106,35";"117,06";"88,25";"60,92";"92,53";"92,83";"85,67";"92,07";"100,95";"73,02";"77,36";"74,77";"51,22";"98,14"
"410220 ATALAIA";"0";"152,94";"229,41";"87,80";"102,27";"77,55";"154,55";"96,67";"92,50";"88,89";"92,11";"81,58";"131,58";"134,21";"82,61";"153,33";"62,50";"92,50";"110,00";"118,60";"86,27";"107,84";"67,92";"97,30";"80,00";"110,03"
"410230 BALSA NOVA";"0";"71,61";"114,84";"127,27";"94,77";"149,59";"109,59";"114,29";"133,09";"86,71";"115,09";"105,66";"98,74";"133,96";"156,91";"93,03";"128,43";"104,30";"83,33";"112,04";"88,61";"82,28";"101,76";"130,97";"80,88";"111,83"
"410240 BANDEIRANTES";"0";"93,03";"82,75";"98,28";"98,27";"84,52";"100,60";"94,99";"103,28";"107,04";"99,36";"94,90";"113,16";"93,21";"90,37";"117,71";"93,21";"91,69";"78,38";"99,77";"87,67";"79,37";"90,11";"75,71";"68,55";"99,46"
"410250 BARBOSA FERRAZ";"0";"143,40";"69,81";"68,27";"120,60";"188,20";"127,91";"80,49";"103,33";"73,12";"110,29";"99,26";"112,50";"78,68";"129,73";"54,40";"91,94";"98,54";"100,00";"80,95";"90,76";"63,03";"100,92";"109,60";"71,74";"107,89"
"410260 BARRACAO";"0";"86,52";"106,74";"144,37";"100,52";"158,96";"138,06";"105,07";"117,78";"119,33";"96,24";"90,23";"87,22";"104,51";"119,01";"118,46";"97,81";"150,00";"124,55";"97,26";"102,01";"96,64";"73,01";"113,16";"74,00";"114,83"
"410270 BARRA DO JACARE";"0";"182,61";"139,13";"120,59";"112,90";"128,00";"122,73";"80,00";"123,08";"185,00";"105,56";"111,11";"166,67";"133,33";"133,33";"209,09";"75,00";"75,00";"80,56";"100,00";"128,00";"112,00";"40,74";"103,23";"36,36";"120,43"
"410275 BELA VISTA DA CAROBA";"0";"134,33";"52,24";"160,78";"111,59";"187,50";"75,32";"121,67";"126,09";"110,64";"200,00";"256,41";"169,23";"194,87";"145,28";"69,39";"139,29";"157,14";"68,57";"215,38";"68,75";"91,67";"105,71";"87,50";"85,71";"133,39"
"410280 BELA VISTA DO PARAISO";"0";"68,40";"113,01";"94,47";"84,69";"84,54";"88,55";"153,75";"94,55";"88,71";"103,24";"93,51";"107,57";"117,30";"87,72";"101,44";"83,93";"82,27";"80,79";"89,05";"103,23";"85,25";"82,20";"63,87";"45,07";"97,14"
"410290 BITURUNA";"0";"91,83";"105,45";"99,51";"118,81";"104,05";"76,00";"92,39";"100,63";"97,08";"111,27";"102,18";"81,82";"86,18";"109,40";"105,68";"107,69";"102,46";"114,34";"103,32";"103,70";"90,00";"85,71";"104,83";"68,42";"105,92"
"410300 BOA ESPERANCA";"0";"86,15";"110,77";"117,65";"95,52";"86,89";"104,17";"75,41";"130,61";"95,65";"80,77";"96,15";"96,15";"76,92";"155,00";"90,00";"103,92";"112,73";"96,36";"115,69";"100,00";"78,12";"64,15";"101,92";"23,08";"103,26"
"410302 BOA ESPERANCA DO IGUACU";"0";"180,00";"102,86";"151,35";"110,67";"134,00";"161,54";"97,06";"106,45";"103,23";"131,03";"103,45";"86,21";"131,03";"106,98";"92,11";"105,41";"128,21";"74,36";"118,52";"93,33";"116,67";"67,74";"56,67";"100,00";"120,95"
"410304 BOA VENTURA DE SAO ROQUE";"0";"47,79";"121,32";"85,71";"93,65";"112,26";"77,68";"97,17";"90,00";"85,57";"96,51";"104,65";"100,00";"106,98";"122,83";"105,81";"101,12";"106,02";"100,00";"79,12";"113,41";"119,51";"101,10";"97,67";"63,33";"100,60"
"410305 BOA VISTA DA APARECIDA";"0";"83,77";"92,15";"100,00";"87,50";"200,82";"87,79";"128,72";"84,35";"75,45";"115,89";"93,46";"96,26";"89,72";"126,80";"75,65";"114,81";"111,20";"91,20";"114,85";"95,12";"91,06";"111,01";"87,80";"42,22";"105,47"
"410310 BOCAIUVA DO SUL";"0";"132,58";"146,63";"101,18";"118,23";"149,08";"112,02";"112,37";"122,78";"98,77";"98,86";"88,64";"111,36";"110,23";"53,57";"80,45";"99,39";"79,26";"65,43";"117,68";"82,00";"39,50";"95,35";"64,80";"53,85";"103,82"
"410315 BOM JESUS DO SUL";"0";"71,60";"77,78";"94,12";"123,61";"146,00";"142,22";"88,52";"123,68";"128,57";"123,53";"133,33";"119,61";"107,84";"142,86";"148,48";"146,34";"101,75";"77,19";"135,71";"90,32";"103,23";"91,07";"72,41";"61,11";"112,23"
"410320 BOM SUCESSO";"0";"179,10";"138,81";"95,45";"104,46";"83,33";"96,94";"120,78";"77,78";"91,01";"116,67";"95,56";"100,00";"133,33";"114,02";"91,26";"100,98";"106,36";"93,64";"97,73";"122,09";"118,60";"87,88";"127,85";"92,50";"110,88"
"410322 BOM SUCESSO DO SUL";"0";"34,00";"92,00";"129,41";"100,00";"226,92";"126,67";"61,54";"115,38";"91,89";"141,86";"100,00";"100,00";"102,33";"123,26";"124,49";"88,64";"97,44";"97,44";"105,71";"158,33";"69,44";"43,24";"147,06";"70,59";"104,82"
"410330 BORRAZOPOLIS";"0";"90,00";"119,23";"86,44";"73,81";"72,17";"90,48";"81,00";"168,82";"66,99";"98,92";"87,10";"104,30";"83,87";"127,06";"80,46";"126,87";"95,24";"113,10";"80,58";"76,40";"92,13";"100,00";"96,20";"85,71";"100,76"
"410335 BRAGANEY";"0";"109,18";"97,96";"98,06";"106,93";"90,00";"108,54";"114,63";"147,54";"88,89";"87,01";"93,51";"100,00";"83,12";"150,91";"110,29";"79,52";"104,69";"120,31";"84,93";"89,06";"98,44";"73,75";"92,45";"71,43";"104,63"
"410337 BRASILANDIA DO SUL";"0";"136,36";"105,45";"113,33";"118,37";"159,46";"154,29";"102,33";"104,76";"107,50";"102,44";"102,44";"107,32";"90,24";"176,32";"142,11";"113,04";"104,17";"95,83";"122,73";"94,44";"88,89";"84,91";"138,10";"70,00";"123,52"
"410340 CAFEARA";"0";"65,22";"139,13";"94,44";"112,82";"111,43";"89,47";"125,00";"150,00";"60,00";"90,32";"87,10";"100,00";"67,74";"117,86";"120,00";"157,14";"192,59";"133,33";"115,00";"246,67";"273,33";"132,00";"68,75";"114,29";"116,85"
"410345 CAFELANDIA";"0";"120,10";"132,54";"125,00";"114,19";"78,18";"87,03";"90,61";"94,86";"97,64";"97,17";"91,51";"104,72";"100,94";"107,27";"71,63";"99,59";"104,46";"101,12";"98,46";"84,33";"113,00";"92,01";"98,11";"45,93";"102,23"
"410347 CAFEZAL DO SUL";"0";"107,14";"108,57";"107,41";"127,45";"161,54";"115,09";"161,29";"118,60";"74,14";"103,64";"101,82";"92,73";"87,27";"161,36";"81,63";"111,11";"110,81";"108,11";"107,50";"111,76";"125,49";"111,48";"100,00";"80,00";"116,64"
"410350 CALIFORNIA";"0";"53,79";"81,38";"132,73";"109,92";"59,32";"83,33";"109,26";"130,68";"93,81";"119,79";"103,12";"109,38";"81,25";"122,09";"142,11";"148,39";"83,21";"94,89";"80,15";"81,42";"103,54";"98,35";"93,22";"77,08";"102,51"
"410360 CAMBARA";"0";"95,57";"96,35";"101,19";"98,77";"111,14";"107,86";"133,33";"121,41";"123,32";"90,76";"91,08";"96,50";"82,48";"97,59";"131,21";"66,20";"83,23";"77,42";"94,77";"102,83";"110,95";"87,75";"95,34";"61,34";"104,18"
"410370 CAMBE";"0";"100,33";"106,25";"101,33";"102,59";"176,37";"102,15";"105,47";"113,75";"109,20";"105,17";"95,62";"109,64";"102,72";"105,19";"117,40";"93,82";"112,20";"92,30";"100,00";"96,09";"97,86";"110,87";"100,40";"56,42";"110,53"
"410380 CAMBIRA";"0";"152,38";"120,24";"108,89";"103,49";"79,00";"100,00";"92,08";"128,75";"130,43";"83,13";"97,59";"92,77";"118,07";"144,76";"103,85";"98,88";"138,20";"97,75";"107,69";"101,02";"113,27";"131,07";"87,83";"75,00";"114,81"
"410390 CAMPINA DA LAGOA";"0";"102,50";"126,07";"106,08";"100,36";"99,59";"99,22";"108,33";"112,44";"97,60";"104,86";"97,30";"131,89";"109,19";"115,05";"88,64";"97,20";"76,09";"111,30";"121,34";"101,36";"104,98";"73,97";"200,00";"114,61";"114,80"
"410395 CAMPINA DO SIMAO";"0";"65,22";"127,83";"105,65";"118,81";"98,99";"106,82";"77,17";"129,17";"71,59";"176,09";"60,87";"67,39";"119,57";"131,48";"148,33";"123,91";"86,30";"86,30";"101,56";"82,86";"81,43";"88,41";"174,51";"125,93";"107,90"
"410400 CAMPINA GRANDE DO SUL";"0";"89,01";"131,60";"130,95";"154,94";"153,27";"142,50";"105,37";"94,55";"82,71";"90,53";"99,30";"85,38";"119,50";"140,03";"162,00";"87,44";"51,36";"58,96";"63,87";"59,14";"46,32";"42,35";"48,97";"12,59";"99,99"
"410405 CAMPO BONITO";"0";"121,74";"128,26";"120,99";"117,65";"226,92";"165,28";"120,27";"143,40";"96,08";"107,46";"68,66";"68,66";"62,69";"152,00";"26,09";"122,41";"64,10";"67,95";"105,17";"71,43";"101,59";"98,33";"86,27";"105,88";"114,90"
"410410 CAMPO DO TENENTE";"0";"122,50";"155,00";"86,32";"128,17";"129,36";"83,72";"94,69";"101,74";"107,63";"108,13";"96,75";"100,00";"109,76";"113,01";"123,73";"95,83";"7,81";"55,47";"88,03";"88,89";"68,89";"106,61";"108,11";"74,47";"103,50"
"410420 CAMPO LARGO";"0";"74,16";"94,97";"99,94";"94,61";"108,61";"90,63";"96,70";"95,77";"100,26";"92,23";"85,24";"87,03";"73,76";"105,44";"184,75";"145,57";"41,62";"65,86";"70,64";"42,13";"60,58";"76,21";"75,96";"59,27";"92,68"
"410425 CAMPO MAGRO";"0";"95,24";"128,57";"145,31";"108,95";"105,28";"90,08";"89,11";"105,31";"113,48";"94,82";"98,19";"98,19";"102,85";"86,85";"137,62";"86,76";"87,50";"95,83";"95,82";"87,18";"78,21";"77,97";"109,81";"52,83";"104,07"
"410430 CAMPO MOURAO";"0";"95,18";"90,10";"99,48";"102,32";"116,96";"92,54";"98,84";"114,70";"88,39";"99,28";"92,60";"102,80";"111,46";"111,72";"127,15";"90,89";"86,95";"88,46";"96,39";"95,31";"85,56";"95,56";"76,94";"36,52";"101,71"
"410440 CANDIDO DE ABREU";"0";"69,91";"97,69";"113,76";"134,82";"129,05";"136,42";"134,48";"108,52";"136,14";"126,53";"98,37";"95,51";"103,27";"98,15";"126,00";"112,69";"79,67";"88,80";"80,53";"97,31";"97,85";"83,08";"79,79";"58,54";"113,61"
"410442 CANDOI";"0";"89,74";"106,16";"114,15";"121,19";"96,38";"111,08";"103,57";"104,98";"111,52";"100,81";"93,52";"94,74";"97,57";"146,72";"90,60";"105,45";"104,02";"102,41";"105,86";"78,49";"81,00";"109,40";"86,11";"40,86";"105,49"
"410445 CANTAGALO";"0";"54,79";"93,11";"112,50";"104,95";"82,56";"113,89";"96,00";"118,75";"109,05";"107,25";"95,85";"88,60";"91,71";"134,24";"109,73";"90,00";"119,65";"112,72";"80,39";"97,84";"92,97";"88,41";"112,58";"66,22";"102,46"
"410450 CAPANEMA";"0";"73,77";"64,59";"98,91";"92,52";"97,43";"110,29";"159,15";"105,94";"74,39";"83,57";"78,40";"101,41";"98,59";"135,94";"91,40";"90,91";"110,85";"111,32";"98,72";"102,80";"101,60";"95,60";"86,89";"74,51";"101,76"
"410460 CAPITAO LEONIDAS MARQUES";"0";"123,34";"130,31";"164,13";"123,24";"135,96";"106,52";"103,39";"121,24";"104,31";"122,02";"100,92";"84,40";"80,73";"134,31";"66,05";"105,00";"103,79";"99,53";"108,50";"91,39";"84,43";"87,60";"106,77";"57,50";"114,82"
"410465 CARAMBEI";"0";"97,56";"93,03";"74,51";"84,88";"22,65";"104,15";"107,12";"93,98";"83,77";"100,00";"108,48";"96,06";"110,30";"88,27";"185,07";"129,11";"97,42";"87,86";"83,15";"95,07";"105,48";"87,79";"76,88";"0,71";"98,40"
"410470 CARLOPOLIS";"0";"99,13";"96,07";"105,53";"103,67";"100,00";"96,52";"115,34";"122,42";"130,18";"128,03";"116,56";"112,10";"150,32";"125,00";"74,29";"107,98";"99,45";"91,76";"119,32";"107,92";"9,41";"107,58";"94,55";"48,19";"108,34"
"410480 CASCAVEL";"0";"96,22";"96,56";"92,11";"97,59";"175,13";"88,49";"100,75";"99,64";"90,94";"97,81";"92,15";"99,85";"103,43";"110,50";"125,50";"103,06";"96,61";"73,77";"90,03";"89,47";"98,09";"91,53";"100,69";"71,77";"103,82"
"410490 CASTRO";"0";"103,66";"82,28";"90,90";"99,73";"101,25";"101,31";"106,22";"93,40";"97,19";"107,66";"89,81";"92,17";"94,44";"115,85";"127,11";"96,10";"93,72";"68,68";"89,04";"92,80";"89,16";"92,67";"91,92";"54,41";"100,88"
"410500 CATANDUVAS";"0";"137,10";"116,13";"103,14";"125,43";"106,98";"103,39";"109,25";"123,38";"126,32";"123,29";"123,29";"119,86";"140,41";"158,02";"89,43";"134,51";"117,65";"83,09";"107,89";"111,30";"37,39";"110,62";"116,36";"17,54";"119,11"
"410510 CENTENARIO DO SUL";"0";"30,00";"70,50";"96,83";"90,42";"92,78";"96,76";"152,85";"81,95";"99,17";"102,63";"93,86";"118,42";"109,65";"102,94";"83,72";"101,72";"110,34";"101,72";"141,18";"79,77";"69,94";"90,00";"90,00";"51,43";"96,76"
"410520 CERRO AZUL";"0";"80,58";"121,45";"105,59";"139,53";"126,30";"104,50";"116,50";"121,15";"115,50";"97,30";"99,23";"76,83";"81,08";"132,65";"101,28";"75,95";"88,43";"99,17";"99,54";"115,38";"76,47";"51,46";"77,35";"60,92";"105,13"
"410530 CEU AZUL";"0";"87,57";"94,92";"104,64";"84,33";"74,39";"96,13";"88,48";"142,74";"92,59";"108,46";"93,08";"89,23";"88,46";"165,52";"67,12";"116,92";"92,81";"105,04";"98,61";"156,92";"130,00";"83,72";"130,28";"66,04";"107,09"
"410540 CHOPINZINHO";"0";"93,44";"107,87";"102,51";"120,28";"103,47";"104,20";"104,04";"107,34";"103,01";"104,33";"97,24";"103,54";"102,76";"105,95";"93,75";"105,06";"110,82";"101,12";"103,62";"91,32";"107,99";"86,75";"105,66";"64,62";"107,37"
"410550 CIANORTE";"0";"92,95";"96,69";"99,41";"94,00";"93,17";"94,50";"95,58";"99,10";"90,73";"96,63";"95,68";"92,84";"93,68";"108,83";"101,36";"92,55";"113,73";"99,71";"99,44";"93,06";"98,31";"92,85";"95,69";"62,62";"100,47"
"410560 CIDADE GAUCHA";"0";"139,77";"86,55";"110,00";"108,19";"116,97";"109,50";"121,37";"106,34";"76,27";"73,82";"93,72";"171,20";"84,82";"79,62";"115,44";"103,73";"102,31";"98,27";"89,41";"91,89";"118,24";"88,62";"108,97";"45,59";"107,40"
"410570 CLEVELANDIA";"0";"84,81";"86,62";"86,22";"102,44";"83,64";"93,71";"82,90";"79,66";"79,30";"81,13";"67,17";"81,89";"91,70";"106,39";"116,18";"83,10";"89,04";"94,52";"79,85";"101,74";"96,52";"46,59";"47,29";"42,59";"90,89"
"410580 COLOMBO";"0";"93,72";"167,56";"121,91";"133,52";"99,87";"100,10";"82,52";"114,51";"108,64";"102,84";"97,00";"93,96";"96,75";"101,95";"135,69";"102,96";"72,02";"84,87";"76,45";"77,90";"71,27";"77,91";"79,30";"56,71";"104,97"
"410590 COLORADO";"0";"117,39";"107,36";"104,68";"99,33";"96,25";"102,13";"126,32";"101,67";"89,88";"98,11";"94,72";"92,45";"101,89";"110,51";"89,63";"94,80";"107,22";"107,22";"96,94";"91,26";"77,27";"89,73";"108,33";"66,10";"104,95"
"410600 CONGONHINHAS";"0";"88,89";"87,50";"116,07";"96,40";"111,11";"91,24";"121,55";"94,17";"74,64";"112,39";"87,61";"103,54";"90,27";"110,53";"125,41";"92,81";"105,04";"81,51";"109,17";"91,97";"57,66";"127,72";"144,76";"92,86";"106,89"
"410610 CONSELHEIRO MAIRINCK";"0";"113,79";"125,86";"136,96";"135,00";"91,53";"110,17";"143,18";"120,00";"104,00";"175,00";"159,38";"162,50";"131,25";"100,00";"158,06";"131,71";"100,00";"70,91";"206,45";"103,57";"71,43";"137,14";"153,12";"68,42";"127,83"
"410620 CONTENDA";"0";"73,78";"139,56";"171,51";"135,23";"122,58";"96,28";"125,90";"95,81";"112,57";"100,00";"95,29";"132,46";"104,19";"108,76";"140,64";"95,02";"50,60";"62,65";"83,06";"96,68";"91,70";"79,15";"98,72";"68,97";"106,67"
"410630 CORBELIA";"0";"115,51";"100,41";"100,41";"97,65";"88,98";"106,57";"95,73";"109,71";"103,85";"101,86";"100,00";"94,42";"97,21";"129,95";"87,38";"131,58";"109,49";"106,32";"98,08";"81,71";"77,43";"112,74";"121,62";"65,38";"108,10"
"410640 CORNELIO PROCOPIO";"0";"90,22";"85,05";"100,31";"103,23";"93,71";"105,39";"89,47";"96,42";"101,57";"94,29";"82,70";"85,81";"91,70";"92,93";"120,00";"91,19";"82,69";"82,69";"91,38";"88,76";"82,36";"82,52";"105,09";"77,08";"98,01"
"410645 CORONEL DOMINGOS SOARES";"0";"97,37";"100,00";"117,35";"108,09";"123,68";"76,98";"125,23";"120,00";"93,22";"110,83";"93,33";"155,00";"106,67";"128,95";"213,79";"106,19";"97,14";"98,10";"111,36";"118,87";"67,92";"108,43";"165,85";"81,25";"117,53"
"410650 CORONEL VIVIDA";"0";"112,50";"95,52";"96,41";"105,22";"98,82";"86,70";"92,93";"129,82";"112,59";"127,31";"106,27";"107,01";"102,95";"136,15";"119,33";"103,38";"87,03";"103,48";"97,16";"84,38";"78,68";"87,96";"114,06";"48,25";"106,59"
"410655 CORUMBATAI DO SUL";"0";"106,25";"121,25";"119,74";"114,10";"121,62";"181,82";"141,38";"142,59";"180,00";"128,89";"104,44";"91,11";"106,67";"157,78";"80,95";"100,00";"114,71";"147,06";"77,36";"127,50";"32,50";"17,78";"120,00";"52,94";"122,44"
"410657 CRUZEIRO DO IGUACU";"0";"163,27";"144,90";"106,67";"102,82";"77,05";"105,63";"118,18";"100,00";"121,28";"87,30";"79,37";"82,54";"103,17";"155,36";"112,07";"101,82";"110,17";"66,10";"188,57";"84,13";"101,59";"92,00";"111,63";"30,00";"109,21"
"410660 CRUZEIRO DO OESTE";"0";"89,36";"117,93";"94,80";"93,10";"85,77";"91,73";"135,58";"95,26";"89,96";"89,76";"86,22";"70,87";"81,50";"109,33";"96,59";"104,96";"94,08";"88,85";"97,89";"83,90";"91,10";"83,72";"94,06";"49,17";"99,72"
"410670 CRUZEIRO DO SUL";"0";"107,81";"129,69";"103,23";"105,45";"106,12";"108,70";"85,29";"92,06";"88,24";"77,50";"70,00";"78,75";"80,00";"78,89";"86,79";"93,10";"57,50";"77,50";"94,20";"94,81";"54,55";"76,81";"75,00";"62,50";"91,83"
"410680 CRUZ MACHADO";"0";"79,80";"96,26";"94,96";"149,45";"95,93";"99,10";"103,41";"104,80";"97,65";"107,53";"76,15";"100,84";"75,31";"121,13";"119,90";"106,30";"90,80";"92,00";"89,29";"99,52";"64,29";"102,19";"101,02";"70,24";"102,61"
"410685 CRUZMALTINA";"0";"91,43";"94,29";"97,14";"85,71";"179,31";"52,08";"290,00";"88,89";"72,22";"103,03";"106,06";"96,97";"142,42";"117,95";"88,89";"104,76";"88,10";"114,29";"65,85";"92,86";"78,57";"41,18";"55,77";"55,56";"97,61"
"410690 CURITIBA";"0";"75,13";"78,65";"90,10";"103,90";"18,69";"97,74";"97,68";"98,68";"92,04";"98,81";"94,57";"95,29";"95,29";"100,82";"112,89";"97,91";"100,10";"87,36";"89,80";"92,02";"85,24";"81,72";"81,18";"66,10";"93,89"
"410700 CURIUVA";"0";"79,51";"106,97";"103,64";"113,81";"83,27";"94,03";"96,68";"103,49";"144,33";"130,58";"128,64";"106,31";"108,74";"130,00";"80,63";"71,68";"122,14";"108,57";"92,47";"82,54";"63,49";"81,97";"76,14";"102,90";"104,81"
"410710 DIAMANTE DO NORTE";"0";"133,33";"91,67";"109,30";"97,92";"120,78";"108,96";"98,41";"89,06";"76,71";"98,53";"86,76";"95,59";"105,88";"122,22";"95,16";"68,18";"118,00";"114,00";"77,97";"104,35";"106,52";"64,00";"110,81";"94,74";"108,89"
"410712 DIAMANTE DO SUL";"0";"113,33";"98,67";"127,27";"125,61";"108,82";"110,14";"136,73";"79,03";"83,82";"143,90";"87,80";"82,93";"100,00";"115,56";"69,81";"131,58";"104,08";"91,84";"121,28";"120,75";"86,79";"90,70";"112,82";"61,90";"112,81"
"410715 DIAMANTE D\'OESTE";"0";"145,83";"139,58";"78,48";"103,12";"98,82";"121,21";"86,25";"126,98";"100,00";"89,66";"94,25";"86,21";"86,21";"109,72";"125,35";"79,49";"89,47";"92,11";"107,81";"72,37";"94,74";"81,82";"89,80";"0";"102,60"
"410720 DOIS VIZINHOS";"0";"108,36";"57,65";"122,32";"98,48";"97,63";"99,20";"88,09";"114,29";"82,04";"96,74";"99,04";"93,47";"102,50";"102,26";"103,08";"95,41";"90,05";"78,58";"95,09";"94,23";"92,63";"81,01";"96,74";"60,00";"99,30"
"410725 DOURADINA";"0";"98,00";"94,00";"106,32";"67,48";"106,12";"88,24";"123,00";"105,32";"93,33";"111,76";"103,92";"127,45";"123,53";"126,55";"111,30";"92,96";"120,87";"113,04";"100,00";"106,30";"86,61";"94,21";"101,59";"48,00";"106,96"
"410730 DOUTOR CAMARGO";"0";"120,27";"120,27";"256,90";"141,07";"141,94";"122,41";"94,44";"132,61";"78,72";"116,00";"82,00";"132,00";"104,00";"98,31";"95,08";"89,04";"116,67";"120,00";"98,46";"118,03";"96,72";"62,12";"121,67";"43,33";"118,77"
